,left_ear,right_ear,ear,left_eye_width,left_eye_height_1,left_eye_height_2,right_eye_width,right_eye_height_1,right_eye_height_2,label,outlier_feature_count,outlier_features
366,0.4484090589441268,0.4840303662264294,0.4662197125852781,0.0286589694662173,0.0128228874538943,0.0128789956034156,0.0242181776587106,0.011326914685624,0.0121177521173407,OPEN,1,left_eye_width
367,0.427504612777527,0.4496270073287742,0.4385658100531506,0.0277153906398382,0.0118962344901468,0.011800680196777,0.0240994878402691,0.0103896590376071,0.0112819021539456,OPEN,1,left_eye_width
368,0.4359098682189632,0.4498188825973813,0.4428643754081722,0.0280485509302,0.0122478526967125,0.0122054275827201,0.0242068101460118,0.0103794640791232,0.0113978965031287,OPEN,1,left_eye_width
369,0.427633720968321,0.4339501456136021,0.4307919332909615,0.0285403004828647,0.0122384445201258,0.012171145265957,0.0243465473809601,0.0101013272780684,0.0110290482842438,OPEN,1,left_eye_width
370,0.4300353792682685,0.4391706086228567,0.4346029939455625,0.0283497996296189,0.0122506934075293,0.0121321402642758,0.0245268779990447,0.0103641909960158,0.0111787768809022,OPEN,1,left_eye_width
371,0.4191647846341531,0.4156665844537978,0.4174156845439754,0.0284024001363039,0.0120726145158142,0.0117379573566395,0.0253569304284793,0.0100977986423955,0.0109822586844815,OPEN,1,left_eye_width
443,0.3008729502829593,0.1375328348915118,0.2192028925872356,0.0310743478428493,0.0100284630195088,0.0086703984076851,0.0355734640709939,0.0045325774653396,0.0052524612558506,OPEN,7,"left_ear, right_ear, ear, left_eye_height_1, left_eye_height_2, right_eye_height_1, right_eye_height_2"
444,0.330137385405935,0.2304208615054372,0.2802791234556862,0.0320957282199744,0.0111440752204124,0.0100479243740712,0.0342207581045991,0.0074036392891343,0.0083667138385274,OPEN,3,"left_ear, right_ear, ear"
445,0.3860426875749309,0.3269481231342993,0.3564954053546151,0.0338403624375407,0.0133174230467831,0.0128102258810127,0.0305524883501924,0.0096253870401948,0.010352770406161,OPEN,2,"right_ear, ear"
446,0.3531952407262509,0.3700398781226928,0.3616175594244718,0.0343029524969056,0.0123292347842039,0.0119020443453275,0.0295885078208992,0.0105367682893031,0.0113610873664526,OPEN,1,left_ear
447,0.3610422431714394,0.3181604661147006,0.33960135464307,0.0349377937703292,0.012698168704167,0.0125298701644345,0.0291799495815395,0.0089799061735605,0.0095879065465716,OPEN,2,"right_ear, ear"
452,0.4227651253731992,0.3300946247617731,0.3764298750674861,0.0355859825322458,0.0149936711890072,0.0150953535445395,0.0275547775979666,0.0088130932137635,0.0093782747294263,OPEN,1,right_ear
504,0.308084073185472,0.2477947805151817,0.2779394268503268,0.0317068917801218,0.0097383736975657,0.009798403037776,0.0298798692107486,0.0067778128998535,0.008030338365946,CLOSED,2,"left_eye_height_1, left_eye_height_2"
505,0.3308757816588519,0.3068182544059694,0.3188470180324106,0.0307130236235497,0.0104010049167012,0.0099233864803963,0.0299015942683804,0.008512834346703,0.0098358755680569,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
506,0.3481065502218093,0.3337606705787056,0.3409336104002575,0.030508549693477,0.0108822980777978,0.010358153894336,0.0300965736277748,0.0093529449340188,0.0107371602582362,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
507,0.3302660313040241,0.346644450368691,0.3384552408363576,0.0310553152796976,0.0105419596144418,0.0099710718422,0.0299580681632201,0.0097525890056558,0.0110170071394385,CLOSED,4,"left_ear, ear, left_eye_height_1, left_eye_height_2"
